category,coefficient,coordinate_sign_convention,definition,gate_action,method,name,perturbation,production_included,reason,required,selected_fd_step,selected_fd_step_unit,source,source_field,units,validation_status,value,wake_iterations
lateral,Cn,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCn/dp_hat; p_hat=p*bref/(2V),ACCEPT,vspaero_steady_rate_derivative,Cn_p,p,True,finite VSPAERO steady-stability derivative with verified normalized-rate denominator,True,,,VSPAERO_Stab,VSPAERO_Stab.CMn_p,1/p_hat,PASS,-0.0524077,12
lateral,CY,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCY/dr_hat; r_hat=r*bref/(2V),ACCEPT,vspaero_steady_rate_derivative,CY_r,r,True,finite VSPAERO steady-stability derivative with verified normalized-rate denominator,True,,,VSPAERO_Stab,VSPAERO_Stab.CFy_r,1/r_hat,PASS,0.2543309,12
lateral,Cl,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCl/dr_hat; r_hat=r*bref/(2V),ACCEPT,vspaero_steady_rate_derivative,Cl_r,r,True,finite VSPAERO steady-stability derivative with verified normalized-rate denominator,True,,,VSPAERO_Stab,VSPAERO_Stab.CMl_r,1/r_hat,PASS,0.0850254,12
lateral,Cn,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCn/dr_hat; r_hat=r*bref/(2V),ACCEPT,vspaero_steady_rate_derivative,Cn_r,r,True,finite VSPAERO steady-stability derivative with verified normalized-rate denominator,True,,,VSPAERO_Stab,VSPAERO_Stab.CMn_r,1/r_hat,PASS,-0.0864278,12
elevator,CL,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCL/ddelta_e at trim,ACCEPT,centered_finite_difference,CL_delta_e,elevator,True,selected the larger endpoint of the first local PASS-stable range,True,1.0,deg,VSPAERO_Polar centered +/- solver cases,VSPAERO_Polar.CL,1/rad,PASS,0.5034238318048049,12
elevator,CD,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCD/ddelta_e at trim,ACCEPT,centered_finite_difference,CD_delta_e,elevator,True,selected the larger endpoint of the first local PASS-stable range,True,1.0,deg,VSPAERO_Polar centered +/- solver cases,VSPAERO_Polar.CD,1/rad,PASS,0.006552756642869337,12
elevator,Cm,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCm/ddelta_e at trim,ACCEPT,centered_finite_difference,Cm_delta_e,elevator,True,selected the larger endpoint of the first local PASS-stable range,True,1.0,deg,VSPAERO_Polar centered +/- solver cases,VSPAERO_Polar.Cm,1/rad,PASS,-1.4253102344772264,12
aileron,CY,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCY/ddelta_a at trim,ACCEPT,centered_finite_difference,CY_delta_a,aileron,True,selected the larger endpoint of the first local PASS-stable range,True,1.0,deg,VSPAERO_Polar centered +/- solver cases,VSPAERO_Polar.CY,1/rad,PASS,-0.014428149887034501,12
aileron,Cl,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCl/ddelta_a at trim,ACCEPT,centered_finite_difference,Cl_delta_a,aileron,True,selected the larger endpoint of the first local PASS-stable range,True,1.0,deg,VSPAERO_Polar centered +/- solver cases,VSPAERO_Polar.Cl,1/rad,PASS,-0.27947494828992003,12
aileron,Cn,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCn/ddelta_a at trim,ACCEPT,centered_finite_difference,Cn_delta_a,aileron,True,selected the larger endpoint of the first local PASS-stable range,True,1.0,deg,VSPAERO_Polar centered +/- solver cases,VSPAERO_Polar.Cn,1/rad,PASS,0.008614385356126974,12
rudder,CY,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCY/ddelta_r at trim,ACCEPT,centered_finite_difference,CY_delta_r,rudder,True,selected the larger endpoint of the first local PASS-stable range,True,1.0,deg,VSPAERO_Polar centered +/- solver cases,VSPAERO_Polar.CY,1/rad,PASS,-0.1579169507902658,12
rudder,Cl,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCl/ddelta_r at trim,ACCEPT,centered_finite_difference,Cl_delta_r,rudder,True,selected the larger endpoint of the first local PASS-stable range,True,1.0,deg,VSPAERO_Polar centered +/- solver cases,VSPAERO_Polar.Cl,1/rad,PASS,0.004288225411593753,12
rudder,Cn,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCn/ddelta_r at trim,ACCEPT,centered_finite_difference,Cn_delta_r,rudder,True,selected the larger endpoint of the first local PASS-stable range,True,1.0,deg,VSPAERO_Polar centered +/- solver cases,VSPAERO_Polar.Cn,1/rad,PASS,0.06741717888790778,12
